0 START simple_strategy 20
391 MOVE 2 9
392 MOVE 2 6
393 MOVE 11 6
394 MOVE 15 6
395 MOVE 23 16
396 MOVE 10 16
397 MOVE 6 16
398 MOVE 6 12
399 MOVE 10 12
400 MOVE 23 12
401 REMOVE 20
401 CASH 194
402 MOVE 0 1
403 MOVE 0 0
404 MOVE 22 4
405 MOVE 8 4
406 MOVE 8 2
407 MOVE 22 2
408 MOVE 15 9
409 MOVE 11 9
410 MOVE 2 9
411 MOVE 2 6
412 MOVE 11 6
413 MOVE 15 6
414 MOVE 23 16
415 ADD 24 12
416 MOVE 0 1
417 MOVE 0 0
418 MOVE 22 4
419 MOVE 8 4
420 MOVE 8 2
421 MOVE 22 2
422 MOVE 15 9
423 MOVE 11 9
424 MOVE 2 9
425 MOVE 2 6
426 MOVE 11 6
427 MOVE 15 6
428 MOVE 24 16
429 MOVE 10 16
430 MOVE 6 16
431 MOVE 6 12
432 MOVE 10 12
433 MOVE 24 12
434 MOVE 23 12
435 MOVE 0 1
436 MOVE 0 0
437 REMOVE 22
437 CASH 198
438 MOVE 8 4
439 MOVE 8 2
440 MOVE 15 9
441 MOVE 11 9
442 MOVE 2 9
443 MOVE 2 6
444 MOVE 11 6
445 MOVE 15 6
446 REMOVE 23
446 CASH 206
447 MOVE 24 16
448 MOVE 10 16
449 MOVE 6 16
450 MOVE 6 12
451 MOVE 10 12
452 MOVE 24 12
453 MOVE 0 1
454 MOVE 0 0
455 MOVE 8 4
456 MOVE 8 2
457 MOVE 15 9
458 MOVE 11 9
459 MOVE 2 9
460 MOVE 2 6
461 MOVE 11 6
462 MOVE 15 6
463 MOVE 24 16
464 MOVE 10 16
465 MOVE 6 16
466 MOVE 6 12
467 MOVE 10 12
468 MOVE 24 12
469 MOVE 0 1
470 MOVE 0 0
471 MOVE 8 4
472 MOVE 8 2
473 MOVE 15 9
474 MOVE 11 9
475 MOVE 2 9
476 MOVE 2 6
477 MOVE 11 6
478 MOVE 15 6
479 MOVE 24 16
480 MOVE 10 16
481 MOVE 6 16
482 MOVE 6 12
483 MOVE 10 12
484 MOVE 24 12
485 MOVE 0 1
486 MOVE 0 0
487 MOVE 8 4
488 MOVE 8 2
489 MOVE 15 9
490 MOVE 11 9
491 MOVE 2 9
492 ADD 25 2
493 MOVE 0 1
494 ADD 26 2
495 MOVE 0 0
496 MOVE 26 4
497 MOVE 25 4
498 MOVE 8 4
499 MOVE 8 2
500 MOVE 25 2
501 MOVE 26 2
502 MOVE 2 6
503 MOVE 11 6
504 MOVE 15 6
505 MOVE 24 16
506 MOVE 10 16
507 MOVE 6 16
508 MOVE 6 12
509 MOVE 10 12
510 MOVE 24 12
511 MOVE 0 1
512 MOVE 0 0
513 MOVE 26 4
514 REMOVE 25
514 CASH 225
515 MOVE 8 4
516 MOVE 8 2
517 MOVE 26 2
518 MOVE 15 9
519 MOVE 11 9
520 MOVE 2 9
521 MOVE 2 6
522 MOVE 11 6
523 MOVE 15 6
524 MOVE 24 16
525 MOVE 10 16
526 MOVE 6 16
527 MOVE 6 12
528 MOVE 10 12
529 MOVE 24 12
530 MOVE 0 1
531 MOVE 0 0
532 MOVE 26 4
533 MOVE 8 4
534 MOVE 8 2
535 MOVE 26 2
536 MOVE 15 9
537 MOVE 11 9
538 ADD 27 0
539 MOVE 27 1
540 MOVE 0 1
541 MOVE 0 0
542 MOVE 27 0
543 MOVE 26 4
544 MOVE 8 4
545 MOVE 8 2
546 MOVE 26 2
547 MOVE 2 9
548 MOVE 2 6
549 MOVE 11 6
550 MOVE 15 6
551 MOVE 24 16
552 MOVE 10 16
553 ADD 28 6
554 MOVE 27 1
555 MOVE 0 1
556 MOVE 0 0
557 MOVE 27 0
558 MOVE 26 4
559 MOVE 8 4
560 ADD 29 6
561 REMOVE 27
561 CASH 235
562 MOVE 0 1
563 MOVE 0 0
564 MOVE 8 2
565 MOVE 26 2
566 MOVE 29 9
567 REMOVE 28
567 CASH 235
568 MOVE 15 9
569 MOVE 11 9
570 MOVE 2 9
571 MOVE 2 6
572 MOVE 11 6
573 MOVE 15 6
574 MOVE 29 6
575 MOVE 6 16
576 MOVE 6 12
577 MOVE 10 12
578 REMOVE 24
578 CASH 241
579 MOVE 0 1
580 MOVE 0 0
581 MOVE 26 4
582 MOVE 8 4
583 MOVE 8 2
584 MOVE 26 2
585 MOVE 29 9
586 MOVE 15 9
587 MOVE 11 9
588 MOVE 2 9
589 MOVE 2 6
590 MOVE 11 6
591 ADD 30 6
592 MOVE 0 1
593 MOVE 0 0
594 MOVE 26 4
595 MOVE 8 4
596 MOVE 8 2
597 MOVE 26 2
598 MOVE 30 9
599 MOVE 11 9
600 MOVE 2 9
601 MOVE 2 6
602 MOVE 11 6
603 MOVE 30 6
604 MOVE 15 6
605 MOVE 29 6
606 MOVE 10 16
607 MOVE 6 16
608 MOVE 6 12
609 MOVE 10 12
610 MOVE 0 1
611 MOVE 0 0
612 MOVE 26 4
613 MOVE 8 4
614 MOVE 8 2
615 MOVE 26 2
616 MOVE 29 9
617 MOVE 15 9
618 MOVE 30 9
619 MOVE 11 9
620 MOVE 2 9
621 MOVE 2 6
622 ADD 31 2
623 MOVE 0 1
624 MOVE 0 0
625 MOVE 31 4
626 MOVE 26 4
627 ADD 32 2
628 MOVE 0 1
629 MOVE 0 0
630 MOVE 32 4
631 MOVE 8 4
632 MOVE 8 2
633 MOVE 32 2
634 MOVE 26 2
635 ADD 33 2
636 MOVE 0 1
637 MOVE 0 0
638 MOVE 33 4
639 MOVE 26 4
640 MOVE 32 4
641 MOVE 8 4
642 ADD 34 0
643 MOVE 34 1
644 MOVE 0 1
645 MOVE 0 0
646 MOVE 34 0
647 MOVE 8 2
648 MOVE 32 2
649 MOVE 26 2
650 MOVE 33 2
651 MOVE 31 2
652 MOVE 2 9
653 MOVE 2 6
654 MOVE 11 6
655 MOVE 30 6
656 MOVE 15 6
657 MOVE 29 6
658 MOVE 10 16
659 MOVE 6 16
660 ADD 35 2
661 MOVE 34 1
662 MOVE 0 1
663 MOVE 0 0
664 MOVE 34 0
665 REMOVE 35
665 CASH 245
666 MOVE 31 4
667 MOVE 33 4
668 MOVE 26 4
669 MOVE 32 4
670 MOVE 8 4
671 MOVE 8 2
672 ADD 36 2
673 MOVE 34 1
674 MOVE 0 1
675 MOVE 0 0
676 MOVE 34 0
677 REMOVE 36
677 CASH 277
678 MOVE 8 4
679 MOVE 8 2
680 MOVE 32 2
681 MOVE 26 2
682 MOVE 33 2
683 MOVE 31 2
684 MOVE 29 9
685 MOVE 15 9
686 MOVE 30 9
687 MOVE 11 9
688 MOVE 2 9
689 MOVE 2 6
690 MOVE 11 6
691 MOVE 30 6
692 MOVE 15 6
693 MOVE 29 6
694 MOVE 6 12
695 MOVE 10 12
696 MOVE 34 1
697 ADD 37 2
698 MOVE 0 1
699 MOVE 0 0
700 MOVE 34 0
701 MOVE 37 4
702 MOVE 31 4
703 MOVE 33 4
704 MOVE 26 4
705 MOVE 32 4
706 MOVE 8 4
707 MOVE 8 2
708 MOVE 32 2
709 MOVE 26 2
710 MOVE 33 2
711 MOVE 31 2
712 MOVE 37 2
713 MOVE 29 9
714 MOVE 15 9
715 MOVE 30 9
716 MOVE 11 9
717 MOVE 2 9
718 MOVE 2 6
719 MOVE 11 6
720 MOVE 30 6
721 MOVE 15 6
722 MOVE 29 6
723 MOVE 10 16
724 MOVE 6 16
725 MOVE 6 12
726 MOVE 10 12
727 MOVE 34 1
728 MOVE 0 1
729 MOVE 0 0
730 MOVE 34 0
731 MOVE 37 4
732 MOVE 31 4
733 MOVE 33 4
734 MOVE 26 4
735 MOVE 32 4
736 MOVE 8 4
737 MOVE 8 2
738 MOVE 32 2
739 MOVE 26 2
740 MOVE 33 2
741 ADD 38 2
742 ADD 39 0
743 MOVE 39 1
744 MOVE 34 1
745 MOVE 0 1
746 MOVE 0 0
747 MOVE 34 0
748 MOVE 39 0
749 MOVE 38 4
750 MOVE 33 4
751 MOVE 26 4
752 MOVE 32 4
753 MOVE 8 4
754 MOVE 8 2
755 MOVE 32 2
756 MOVE 26 2
757 ADD 40 6
758 MOVE 39 1
759 MOVE 34 1
760 MOVE 0 1
761 MOVE 0 0
762 ADD 41 0
763 MOVE 41 1
764 MOVE 0 1
765 MOVE 0 0
766 MOVE 41 0
767 MOVE 34 0
768 ADD 42 0
769 MOVE 42 1
770 MOVE 34 1
771 MOVE 41 1
772 MOVE 0 1
773 MOVE 0 0
774 ADD 43 6
775 MOVE 0 1
776 MOVE 0 0
777 MOVE 41 0
778 MOVE 34 0
779 MOVE 42 0
780 REMOVE 39
780 CASH 280
781 MOVE 26 4
782 MOVE 32 4
783 MOVE 8 4
784 MOVE 8 2
785 MOVE 32 2
786 MOVE 26 2
787 MOVE 33 2
788 MOVE 38 2
789 MOVE 31 2
790 MOVE 37 2
791 MOVE 43 9
792 REMOVE 40
792 CASH 295
793 MOVE 29 9
794 MOVE 15 9
795 MOVE 30 9
796 MOVE 11 9
797 MOVE 2 9
798 MOVE 2 6
799 MOVE 11 6
800 MOVE 30 6
801 MOVE 15 6
802 MOVE 29 6
803 MOVE 43 6
804 MOVE 10 16
805 MOVE 6 16
806 MOVE 6 12
807 MOVE 10 12
808 MOVE 42 1
809 MOVE 34 1
810 MOVE 41 1
811 MOVE 0 1
812 MOVE 0 0
813 MOVE 41 0
814 MOVE 34 0
815 MOVE 42 0
816 MOVE 37 4
817 MOVE 31 4
818 MOVE 38 4
819 MOVE 33 4
820 MOVE 26 4
821 MOVE 32 4
822 MOVE 8 4
823 MOVE 8 2
824 MOVE 32 2
825 MOVE 26 2
826 MOVE 33 2
827 MOVE 38 2
828 MOVE 31 2
829 MOVE 37 2
830 MOVE 43 9
831 MOVE 29 9
832 MOVE 15 9
833 MOVE 30 9
834 MOVE 11 9
835 MOVE 2 9
836 MOVE 2 6
837 MOVE 11 6
838 MOVE 30 6
839 MOVE 15 6
840 MOVE 29 6
841 MOVE 43 6
842 MOVE 10 16
843 MOVE 6 16
844 MOVE 6 12
845 MOVE 10 12
846 MOVE 42 1
847 MOVE 34 1
848 MOVE 41 1
849 MOVE 0 1
850 MOVE 0 0
851 MOVE 41 0
852 MOVE 34 0
853 ADD 44 0
854 MOVE 44 1
855 MOVE 34 1
856 MOVE 41 1
857 MOVE 0 1
858 MOVE 0 0
859 MOVE 41 0
860 MOVE 34 0
861 MOVE 44 0
862 MOVE 42 0
863 MOVE 37 4
864 MOVE 31 4
865 MOVE 38 4
866 MOVE 33 4
867 MOVE 26 4
868 MOVE 32 4
869 MOVE 8 4
870 MOVE 8 2
871 MOVE 32 2
872 MOVE 26 2
873 MOVE 33 2
874 MOVE 38 2
875 MOVE 31 2
876 ADD 45 12
877 ADD 46 6
878 REMOVE 42
878 CASH 302
879 ADD 47 12
880 MOVE 44 1
881 MOVE 34 1
882 MOVE 41 1
883 MOVE 0 1
884 MOVE 0 0
885 MOVE 41 0
886 MOVE 34 0
887 MOVE 44 0
888 MOVE 31 4
889 REMOVE 38
889 CASH 319
890 MOVE 33 4
891 MOVE 26 4
892 MOVE 32 4
893 MOVE 8 4
894 MOVE 8 2
895 MOVE 32 2
896 MOVE 26 2
897 MOVE 33 2
898 MOVE 31 2
899 MOVE 37 2
900 REMOVE 46
900 CASH 320
901 MOVE 43 9
902 MOVE 29 9
903 ADD 48 12
904 MOVE 44 1
905 MOVE 34 1
906 MOVE 41 1
907 MOVE 0 1
908 MOVE 0 0
909 MOVE 41 0
910 MOVE 34 0
911 REMOVE 44
911 CASH 326
912 MOVE 37 4
