0 START simple_strategy 35
399 MOVE 11 1
400 MOVE 6 1
401 MOVE 2 1
402 ADD 12 12
403 MOVE 1 1
404 MOVE 1 0
405 MOVE 2 0
406 MOVE 6 0
407 MOVE 11 0
408 MOVE 4 4
409 MOVE 3 4
410 MOVE 10 4
411 MOVE 10 2
412 MOVE 3 2
413 MOVE 4 2
414 MOVE 7 9
415 MOVE 5 9
416 MOVE 0 9
417 MOVE 9 9
418 MOVE 9 6
419 MOVE 0 6
420 MOVE 5 6
421 MOVE 7 6
422 MOVE 12 16
423 MOVE 12 12
424 MOVE 11 1
425 MOVE 6 1
426 MOVE 2 1
427 MOVE 1 1
428 MOVE 1 0
429 MOVE 2 0
430 MOVE 6 0
431 MOVE 11 0
432 MOVE 4 4
433 MOVE 3 4
434 MOVE 10 4
435 MOVE 10 2
436 MOVE 3 2
437 MOVE 4 2
438 MOVE 7 9
439 MOVE 5 9
440 ADD 13 0
441 MOVE 13 1
442 MOVE 11 1
443 MOVE 6 1
444 MOVE 2 1
445 MOVE 1 1
446 MOVE 1 0
447 MOVE 2 0
448 MOVE 6 0
449 MOVE 11 0
450 MOVE 13 0
451 MOVE 4 4
452 MOVE 3 4
453 MOVE 10 4
454 MOVE 10 2
455 MOVE 3 2
456 MOVE 4 2
457 MOVE 0 9
458 MOVE 9 9
459 MOVE 9 6
460 MOVE 0 6
461 MOVE 5 6
462 MOVE 7 6
463 MOVE 12 16
464 ADD 14 6
465 MOVE 13 1
466 MOVE 11 1
467 MOVE 6 1
468 MOVE 2 1
469 MOVE 1 1
470 MOVE 1 0
471 MOVE 2 0
472 ADD 15 6
473 MOVE 2 1
474 MOVE 1 1
475 MOVE 1 0
476 MOVE 2 0
477 MOVE 6 0
478 MOVE 11 0
479 MOVE 13 0
480 MOVE 4 4
481 MOVE 3 4
482 MOVE 10 4
483 MOVE 10 2
484 MOVE 3 2
485 MOVE 4 2
486 MOVE 15 9
487 MOVE 14 9
488 MOVE 7 9
489 ADD 16 6
490 MOVE 13 1
491 MOVE 11 1
492 MOVE 6 1
493 MOVE 2 1
494 MOVE 1 1
495 MOVE 1 0
496 MOVE 2 0
497 MOVE 6 0
498 MOVE 11 0
499 MOVE 13 0
500 MOVE 4 4
501 MOVE 3 4
502 MOVE 10 4
503 MOVE 10 2
504 MOVE 3 2
505 MOVE 4 2
506 MOVE 16 9
507 MOVE 5 9
508 MOVE 0 9
509 MOVE 9 9
510 MOVE 9 6
511 MOVE 0 6
512 MOVE 5 6
513 REMOVE 16
513 CASH 6
514 MOVE 7 6
515 ADD 17 12
516 MOVE 13 1
517 MOVE 11 1
518 MOVE 6 1
519 MOVE 2 1
520 MOVE 1 1
521 MOVE 1 0
522 MOVE 2 0
523 MOVE 6 0
524 MOVE 11 0
525 MOVE 13 0
526 MOVE 4 4
527 ADD 18 6
528 MOVE 13 1
529 MOVE 11 1
